Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Disease
lack_of_concentration,headache,loss_of_balance,chest_pain,,,,,,,,,,,,,,Hypertension
chest_pain,lack_of_concentration,headache,loss_of_balance,,,,,,,,,,,,,,Hypertension
dizziness,headache,lack_of_concentration,chest_pain,loss_of_balance,,,,,,,,,,,,,Hypertension
chest_pain,loss_of_balance,dizziness,lack_of_concentration,headache,,,,,,,,,,,,,Hypertension
headache,lack_of_concentration,loss_of_balance,dizziness,,,,,,,,,,,,,,Hypertension
chest_pain,headache,dizziness,lack_of_concentration,loss_of_balance,,,,,,,,,,,,,Hypertension
lack_of_concentration,chest_pain,headache,loss_of_balance,,,,,,,,,,,,,,Hypertension
chest_pain,dizziness,headache,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,Hypertension
chest_pain,headache,dizziness,lack_of_concentration,loss_of_balance,,,,,,,,,,,,,Hypertension
depression,excessive_hunger,acidity,headache,irritability,,,,,,,,,,,,,Migraine
headache,indigestion,stiff_neck,blurred_and_distorted_vision,excessive_hunger,,,,,,,,,,,,,Migraine
stiff_neck,indigestion,irritability,excessive_hunger,headache,acidity,blurred_and_distorted_vision,depression,,,,,,,,,,Migraine
excessive_hunger,indigestion,depression,acidity,blurred_and_distorted_vision,,,,,,,,,,,,,Migraine
acidity,indigestion,excessive_hunger,headache,depression,stiff_neck,irritability,,,,,,,,,,,Migraine
headache,irritability,stiff_neck,acidity,indigestion,blurred_and_distorted_vision,,,,,,,,,,,,Migraine
headache,stiff_neck,acidity,irritability,blurred_and_distorted_vision,,,,,,,,,,,,,Migraine
excessive_hunger,indigestion,depression,,,,,,,,,,,,,,,Migraine
indigestion,headache,depression,acidity,excessive_hunger,blurred_and_distorted_vision,irritability,stiff_neck,,,,,,,,,,Migraine
depression,indigestion,blurred_and_distorted_vision,stiff_neck,excessive_hunger,irritability,headache,acidity,,,,,,,,,,Migraine
blurred_and_distorted_vision,indigestion,irritability,acidity,excessive_hunger,depression,,,,,,,,,,,,Migraine
stiff_neck,headache,acidity,,,,,,,,,,,,,,,Migraine
stiff_neck,indigestion,blurred_and_distorted_vision,,,,,,,,,,,,,,,Migraine
indigestion,excessive_hunger,acidity,headache,,,,,,,,,,,,,,Migraine
irritability,stiff_neck,acidity,blurred_and_distorted_vision,indigestion,headache,excessive_hunger,,,,,,,,,,,Migraine
acidity,irritability,headache,indigestion,,,,,,,,,,,,,,Migraine
depression,stiff_neck,excessive_hunger,irritability,,,,,,,,,,,,,,Migraine
excessive_hunger,headache,indigestion,acidity,irritability,,,,,,,,,,,,,Migraine
irritability,indigestion,acidity,headache,stiff_neck,depression,,,,,,,,,,,,Migraine
excessive_hunger,depression,stiff_neck,,,,,,,,,,,,,,,Migraine
irritability,indigestion,acidity,stiff_neck,depression,excessive_hunger,blurred_and_distorted_vision,headache,,,,,,,,,,Migraine
indigestion,headache,blurred_and_distorted_vision,stiff_neck,excessive_hunger,depression,,,,,,,,,,,,Migraine
indigestion,stiff_neck,excessive_hunger,blurred_and_distorted_vision,irritability,,,,,,,,,,,,,Migraine
depression,headache,indigestion,blurred_and_distorted_vision,acidity,,,,,,,,,,,,,Migraine
irritability,blurred_and_distorted_vision,headache,indigestion,stiff_neck,,,,,,,,,,,,,Migraine
acidity,indigestion,stiff_neck,irritability,excessive_hunger,headache,depression,,,,,,,,,,,Migraine
depression,irritability,excessive_hunger,indigestion,acidity,stiff_neck,headache,,,,,,,,,,,Migraine
irritability,excessive_hunger,indigestion,blurred_and_distorted_vision,headache,acidity,stiff_neck,,,,,,,,,,,Migraine
acidity,excessive_hunger,depression,stiff_neck,indigestion,irritability,blurred_and_distorted_vision,headache,,,,,,,,,,Migraine
blurred_and_distorted_vision,depression,indigestion,stiff_neck,,,,,,,,,,,,,,Migraine
depression,acidity,stiff_neck,,,,,,,,,,,,,,,Migraine
blurred_and_distorted_vision,depression,stiff_neck,indigestion,headache,excessive_hunger,,,,,,,,,,,,Migraine
indigestion,acidity,blurred_and_distorted_vision,excessive_hunger,stiff_neck,headache,irritability,depression,,,,,,,,,,Migraine
irritability,depression,acidity,excessive_hunger,blurred_and_distorted_vision,stiff_neck,indigestion,,,,,,,,,,,Migraine
headache,excessive_hunger,depression,stiff_neck,,,,,,,,,,,,,,Migraine
indigestion,excessive_hunger,acidity,,,,,,,,,,,,,,,Migraine
stiff_neck,blurred_and_distorted_vision,headache,depression,excessive_hunger,,,,,,,,,,,,,Migraine
irritability,acidity,indigestion,headache,blurred_and_distorted_vision,depression,stiff_neck,,,,,,,,,,,Migraine
depression,headache,stiff_neck,,,,,,,,,,,,,,,Migraine
acidity,stiff_neck,blurred_and_distorted_vision,headache,,,,,,,,,,,,,,Migraine
acidity,headache,depression,stiff_neck,excessive_hunger,,,,,,,,,,,,,Migraine
indigestion,depression,irritability,stiff_neck,headache,blurred_and_distorted_vision,,,,,,,,,,,,Migraine
stiff_neck,headache,irritability,blurred_and_distorted_vision,acidity,excessive_hunger,,,,,,,,,,,,Migraine
blurred_and_distorted_vision,depression,irritability,stiff_neck,headache,acidity,,,,,,,,,,,,Migraine
headache,acidity,irritability,excessive_hunger,blurred_and_distorted_vision,depression,stiff_neck,,,,,,,,,,,Migraine
blurred_and_distorted_vision,depression,indigestion,acidity,,,,,,,,,,,,,,Migraine
acidity,blurred_and_distorted_vision,irritability,headache,,,,,,,,,,,,,,Migraine
blurred_and_distorted_vision,headache,depression,irritability,excessive_hunger,stiff_neck,acidity,indigestion,,,,,,,,,,Migraine
stiff_neck,blurred_and_distorted_vision,excessive_hunger,depression,,,,,,,,,,,,,,Migraine
irritability,excessive_hunger,depression,headache,,,,,,,,,,,,,,Migraine
headache,depression,irritability,acidity,stiff_neck,,,,,,,,,,,,,Migraine
depression,acidity,indigestion,,,,,,,,,,,,,,,Migraine
blurred_and_distorted_vision,depression,indigestion,stiff_neck,excessive_hunger,irritability,headache,,,,,,,,,,,Migraine
acidity,depression,stiff_neck,irritability,blurred_and_distorted_vision,excessive_hunger,headache,,,,,,,,,,,Migraine
acidity,indigestion,headache,excessive_hunger,stiff_neck,blurred_and_distorted_vision,depression,,,,,,,,,,,Migraine
depression,irritability,headache,blurred_and_distorted_vision,stiff_neck,acidity,,,,,,,,,,,,Migraine
excessive_hunger,stiff_neck,irritability,depression,blurred_and_distorted_vision,headache,,,,,,,,,,,,Migraine
acidity,excessive_hunger,stiff_neck,,,,,,,,,,,,,,,Migraine
excessive_hunger,headache,stiff_neck,acidity,blurred_and_distorted_vision,,,,,,,,,,,,,Migraine
stiff_neck,headache,irritability,,,,,,,,,,,,,,,Migraine
neck_pain,loss_of_balance,dizziness,weakness_in_limbs,,,,,,,,,,,,,,Cervical spondylosis
weakness_in_limbs,loss_of_balance,back_pain,,,,,,,,,,,,,,,Cervical spondylosis
dizziness,neck_pain,loss_of_balance,back_pain,weakness_in_limbs,,,,,,,,,,,,,Cervical spondylosis
dizziness,neck_pain,weakness_in_limbs,loss_of_balance,back_pain,,,,,,,,,,,,,Cervical spondylosis
back_pain,weakness_in_limbs,dizziness,loss_of_balance,,,,,,,,,,,,,,Cervical spondylosis
loss_of_balance,dizziness,neck_pain,weakness_in_limbs,back_pain,,,,,,,,,,,,,Cervical spondylosis
loss_of_balance,weakness_in_limbs,dizziness,,,,,,,,,,,,,,,Cervical spondylosis
dizziness,weakness_in_limbs,neck_pain,,,,,,,,,,,,,,,Cervical spondylosis
loss_of_balance,weakness_in_limbs,neck_pain,dizziness,,,,,,,,,,,,,,Cervical spondylosis
back_pain,weakness_in_limbs,dizziness,loss_of_balance,neck_pain,,,,,,,,,,,,,Cervical spondylosis
neck_pain,loss_of_balance,weakness_in_limbs,dizziness,,,,,,,,,,,,,,Cervical spondylosis
back_pain,dizziness,loss_of_balance,neck_pain,,,,,,,,,,,,,,Cervical spondylosis
weakness_in_limbs,back_pain,neck_pain,loss_of_balance,,,,,,,,,,,,,,Cervical spondylosis
neck_pain,dizziness,back_pain,loss_of_balance,weakness_in_limbs,,,,,,,,,,,,,Cervical spondylosis
neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,,,Cervical spondylosis
weakness_in_limbs,neck_pain,dizziness,back_pain,,,,,,,,,,,,,,Cervical spondylosis
dizziness,neck_pain,loss_of_balance,,,,,,,,,,,,,,,Cervical spondylosis
neck_pain,back_pain,dizziness,,,,,,,,,,,,,,,Cervical spondylosis
neck_pain,weakness_in_limbs,back_pain,loss_of_balance,,,,,,,,,,,,,,Cervical spondylosis
back_pain,weakness_in_limbs,neck_pain,dizziness,,,,,,,,,,,,,,Cervical spondylosis
dizziness,loss_of_balance,weakness_in_limbs,neck_pain,back_pain,,,,,,,,,,,,,Cervical spondylosis
back_pain,weakness_in_limbs,neck_pain,,,,,,,,,,,,,,,Cervical spondylosis
back_pain,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,,Cervical spondylosis
back_pain,weakness_in_limbs,loss_of_balance,,,,,,,,,,,,,,,Cervical spondylosis
neck_pain,loss_of_balance,back_pain,dizziness,weakness_in_limbs,,,,,,,,,,,,,Cervical spondylosis
loss_of_balance,neck_pain,back_pain,dizziness,weakness_in_limbs,,,,,,,,,,,,,Cervical spondylosis
neck_pain,dizziness,loss_of_balance,weakness_in_limbs,,,,,,,,,,,,,,Cervical spondylosis
weakness_in_limbs,neck_pain,loss_of_balance,dizziness,,,,,,,,,,,,,,Cervical spondylosis
weakness_in_limbs,dizziness,back_pain,,,,,,,,,,,,,,,Cervical spondylosis
weakness_in_limbs,loss_of_balance,back_pain,,,,,,,,,,,,,,,Cervical spondylosis
back_pain,weakness_in_limbs,loss_of_balance,dizziness,neck_pain,,,,,,,,,,,,,Cervical spondylosis
neck_pain,back_pain,loss_of_balance,dizziness,,,,,,,,,,,,,,Cervical spondylosis
back_pain,loss_of_balance,dizziness,neck_pain,weakness_in_limbs,,,,,,,,,,,,,Cervical spondylosis
dizziness,back_pain,neck_pain,weakness_in_limbs,,,,,,,,,,,,,,Cervical spondylosis
weakness_in_limbs,loss_of_balance,neck_pain,back_pain,,,,,,,,,,,,,,Cervical spondylosis
dizziness,back_pain,neck_pain,weakness_in_limbs,,,,,,,,,,,,,,Cervical spondylosis
loss_of_balance,weakness_in_limbs,dizziness,back_pain,neck_pain,,,,,,,,,,,,,Cervical spondylosis
back_pain,loss_of_balance,weakness_in_limbs,dizziness,,,,,,,,,,,,,,Cervical spondylosis
weakness_in_limbs,neck_pain,dizziness,back_pain,loss_of_balance,,,,,,,,,,,,,Cervical spondylosis
dizziness,neck_pain,back_pain,loss_of_balance,weakness_in_limbs,,,,,,,,,,,,,Cervical spondylosis
dizziness,neck_pain,back_pain,,,,,,,,,,,,,,,Cervical spondylosis
back_pain,loss_of_balance,dizziness,,,,,,,,,,,,,,,Cervical spondylosis
dizziness,weakness_in_limbs,back_pain,neck_pain,loss_of_balance,,,,,,,,,,,,,Cervical spondylosis
weakness_in_limbs,dizziness,loss_of_balance,neck_pain,,,,,,,,,,,,,,Cervical spondylosis
back_pain,loss_of_balance,dizziness,neck_pain,,,,,,,,,,,,,,Cervical spondylosis
neck_pain,loss_of_balance,weakness_in_limbs,back_pain,,,,,,,,,,,,,,Cervical spondylosis
back_pain,loss_of_balance,dizziness,,,,,,,,,,,,,,,Cervical spondylosis
weakness_in_limbs,neck_pain,loss_of_balance,dizziness,back_pain,,,,,,,,,,,,,Cervical spondylosis
back_pain,neck_pain,weakness_in_limbs,loss_of_balance,dizziness,,,,,,,,,,,,,Cervical spondylosis
dizziness,loss_of_balance,weakness_in_limbs,neck_pain,,,,,,,,,,,,,,Cervical spondylosis
dizziness,loss_of_balance,neck_pain,back_pain,weakness_in_limbs,,,,,,,,,,,,,Cervical spondylosis
back_pain,weakness_in_limbs,loss_of_balance,,,,,,,,,,,,,,,Cervical spondylosis
loss_of_balance,dizziness,neck_pain,weakness_in_limbs,,,,,,,,,,,,,,Cervical spondylosis
loss_of_balance,dizziness,weakness_in_limbs,,,,,,,,,,,,,,,Cervical spondylosis
back_pain,weakness_in_limbs,dizziness,neck_pain,loss_of_balance,,,,,,,,,,,,,Cervical spondylosis
dizziness,back_pain,loss_of_balance,weakness_in_limbs,,,,,,,,,,,,,,Cervical spondylosis
neck_pain,back_pain,loss_of_balance,dizziness,weakness_in_limbs,,,,,,,,,,,,,Cervical spondylosis
loss_of_balance,back_pain,weakness_in_limbs,dizziness,neck_pain,,,,,,,,,,,,,Cervical spondylosis
dizziness,weakness_in_limbs,neck_pain,back_pain,,,,,,,,,,,,,,Cervical spondylosis
weakness_in_limbs,dizziness,loss_of_balance,,,,,,,,,,,,,,,Cervical spondylosis
vomiting,altered_sensorium,headache,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,slurred_speech,vomiting,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
headache,altered_sensorium,slurred_speech,vomiting,weakness_of_one_body_side,,,,,,,,,,,,,Paralysis (brain hemorrhage)
altered_sensorium,slurred_speech,vomiting,headache,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,vomiting,headache,altered_sensorium,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
altered_sensorium,slurred_speech,vomiting,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,vomiting,altered_sensorium,headache,weakness_of_one_body_side,,,,,,,,,,,,,Paralysis (brain hemorrhage)
altered_sensorium,weakness_of_one_body_side,headache,vomiting,slurred_speech,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,altered_sensorium,slurred_speech,headache,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
altered_sensorium,vomiting,slurred_speech,weakness_of_one_body_side,headache,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,slurred_speech,altered_sensorium,headache,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,slurred_speech,altered_sensorium,headache,weakness_of_one_body_side,,,,,,,,,,,,,Paralysis (brain hemorrhage)
altered_sensorium,vomiting,headache,slurred_speech,weakness_of_one_body_side,,,,,,,,,,,,,Paralysis (brain hemorrhage)
altered_sensorium,headache,slurred_speech,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,vomiting,headache,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,vomiting,headache,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,headache,altered_sensorium,vomiting,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,altered_sensorium,weakness_of_one_body_side,headache,slurred_speech,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,headache,weakness_of_one_body_side,vomiting,altered_sensorium,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,weakness_of_one_body_side,altered_sensorium,headache,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,headache,altered_sensorium,weakness_of_one_body_side,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,altered_sensorium,vomiting,slurred_speech,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,weakness_of_one_body_side,altered_sensorium,headache,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,headache,vomiting,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,headache,slurred_speech,vomiting,altered_sensorium,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,weakness_of_one_body_side,altered_sensorium,headache,slurred_speech,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,weakness_of_one_body_side,headache,vomiting,altered_sensorium,,,,,,,,,,,,,Paralysis (brain hemorrhage)
altered_sensorium,headache,vomiting,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,headache,altered_sensorium,slurred_speech,weakness_of_one_body_side,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,headache,vomiting,altered_sensorium,slurred_speech,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,weakness_of_one_body_side,headache,slurred_speech,altered_sensorium,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,altered_sensorium,vomiting,headache,weakness_of_one_body_side,,,,,,,,,,,,,Paralysis (brain hemorrhage)
altered_sensorium,slurred_speech,weakness_of_one_body_side,headache,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,slurred_speech,weakness_of_one_body_side,headache,altered_sensorium,,,,,,,,,,,,,Paralysis (brain hemorrhage)
altered_sensorium,headache,weakness_of_one_body_side,slurred_speech,vomiting,,,,,,,,,,,,,Paralysis (brain hemorrhage)
headache,weakness_of_one_body_side,slurred_speech,vomiting,altered_sensorium,,,,,,,,,,,,,Paralysis (brain hemorrhage)
headache,vomiting,slurred_speech,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
altered_sensorium,weakness_of_one_body_side,slurred_speech,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
headache,slurred_speech,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,altered_sensorium,slurred_speech,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,headache,altered_sensorium,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,weakness_of_one_body_side,headache,altered_sensorium,slurred_speech,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,headache,vomiting,slurred_speech,altered_sensorium,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,altered_sensorium,vomiting,headache,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
headache,weakness_of_one_body_side,slurred_speech,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,headache,slurred_speech,altered_sensorium,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,slurred_speech,weakness_of_one_body_side,headache,altered_sensorium,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,headache,vomiting,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,altered_sensorium,vomiting,headache,slurred_speech,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,vomiting,slurred_speech,headache,altered_sensorium,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,weakness_of_one_body_side,altered_sensorium,slurred_speech,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,vomiting,altered_sensorium,weakness_of_one_body_side,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
slurred_speech,vomiting,weakness_of_one_body_side,altered_sensorium,headache,,,,,,,,,,,,,Paralysis (brain hemorrhage)
headache,altered_sensorium,vomiting,weakness_of_one_body_side,slurred_speech,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,headache,slurred_speech,altered_sensorium,weakness_of_one_body_side,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,slurred_speech,altered_sensorium,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,vomiting,slurred_speech,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
weakness_of_one_body_side,altered_sensorium,headache,,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
altered_sensorium,slurred_speech,headache,vomiting,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
vomiting,slurred_speech,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,Paralysis (brain hemorrhage)
itching,yellowish_skin,abdominal_pain,fatigue,dark_urine,vomiting,high_fever,weight_loss,,,,,,,,,,Jaundice
abdominal_pain,weight_loss,dark_urine,itching,yellowish_skin,,,,,,,,,,,,,Jaundice
weight_loss,vomiting,yellowish_skin,abdominal_pain,,,,,,,,,,,,,,Jaundice
high_fever,yellowish_skin,vomiting,fatigue,abdominal_pain,itching,weight_loss,,,,,,,,,,,Jaundice
itching,abdominal_pain,high_fever,,,,,,,,,,,,,,,Jaundice
dark_urine,high_fever,abdominal_pain,itching,fatigue,yellowish_skin,vomiting,,,,,,,,,,,Jaundice
dark_urine,yellowish_skin,high_fever,vomiting,,,,,,,,,,,,,,Jaundice
fatigue,vomiting,high_fever,abdominal_pain,,,,,,,,,,,,,,Jaundice
vomiting,abdominal_pain,yellowish_skin,high_fever,,,,,,,,,,,,,,Jaundice
abdominal_pain,yellowish_skin,high_fever,,,,,,,,,,,,,,,Jaundice
high_fever,yellowish_skin,itching,,,,,,,,,,,,,,,Jaundice
vomiting,abdominal_pain,yellowish_skin,high_fever,weight_loss,,,,,,,,,,,,,Jaundice
yellowish_skin,vomiting,abdominal_pain,dark_urine,itching,,,,,,,,,,,,,Jaundice
vomiting,abdominal_pain,fatigue,weight_loss,high_fever,,,,,,,,,,,,,Jaundice
high_fever,yellowish_skin,abdominal_pain,vomiting,fatigue,,,,,,,,,,,,,Jaundice
dark_urine,vomiting,itching,fatigue,abdominal_pain,,,,,,,,,,,,,Jaundice
dark_urine,fatigue,abdominal_pain,vomiting,,,,,,,,,,,,,,Jaundice
yellowish_skin,weight_loss,dark_urine,abdominal_pain,fatigue,vomiting,high_fever,itching,,,,,,,,,,Jaundice
vomiting,dark_urine,fatigue,abdominal_pain,,,,,,,,,,,,,,Jaundice
weight_loss,fatigue,yellowish_skin,itching,high_fever,abdominal_pain,dark_urine,,,,,,,,,,,Jaundice
dark_urine,abdominal_pain,high_fever,vomiting,itching,fatigue,yellowish_skin,,,,,,,,,,,Jaundice
abdominal_pain,yellowish_skin,vomiting,fatigue,weight_loss,itching,dark_urine,,,,,,,,,,,Jaundice
abdominal_pain,high_fever,dark_urine,itching,,,,,,,,,,,,,,Jaundice
yellowish_skin,high_fever,itching,vomiting,dark_urine,fatigue,,,,,,,,,,,,Jaundice
abdominal_pain,vomiting,dark_urine,high_fever,,,,,,,,,,,,,,Jaundice
fatigue,yellowish_skin,dark_urine,weight_loss,abdominal_pain,itching,high_fever,,,,,,,,,,,Jaundice
weight_loss,itching,fatigue,yellowish_skin,vomiting,dark_urine,,,,,,,,,,,,Jaundice
weight_loss,high_fever,fatigue,abdominal_pain,dark_urine,vomiting,itching,yellowish_skin,,,,,,,,,,Jaundice
yellowish_skin,itching,abdominal_pain,high_fever,fatigue,weight_loss,vomiting,dark_urine,,,,,,,,,,Jaundice
dark_urine,fatigue,high_fever,itching,abdominal_pain,vomiting,,,,,,,,,,,,Jaundice
dark_urine,fatigue,abdominal_pain,weight_loss,,,,,,,,,,,,,,Jaundice
itching,high_fever,vomiting,weight_loss,yellowish_skin,abdominal_pain,,,,,,,,,,,,Jaundice
high_fever,vomiting,dark_urine,,,,,,,,,,,,,,,Jaundice
fatigue,abdominal_pain,high_fever,itching,,,,,,,,,,,,,,Jaundice
weight_loss,abdominal_pain,fatigue,itching,dark_urine,yellowish_skin,vomiting,high_fever,,,,,,,,,,Jaundice
fatigue,yellowish_skin,weight_loss,itching,,,,,,,,,,,,,,Jaundice
itching,vomiting,high_fever,yellowish_skin,,,,,,,,,,,,,,Jaundice
fatigue,yellowish_skin,high_fever,itching,,,,,,,,,,,,,,Jaundice
fatigue,itching,vomiting,abdominal_pain,yellowish_skin,high_fever,weight_loss,,,,,,,,,,,Jaundice
itching,yellowish_skin,dark_urine,fatigue,abdominal_pain,weight_loss,vomiting,,,,,,,,,,,Jaundice
abdominal_pain,dark_urine,weight_loss,vomiting,high_fever,yellowish_skin,itching,,,,,,,,,,,Jaundice
fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain,itching,vomiting,,,,,,,,,,,Jaundice
vomiting,abdominal_pain,weight_loss,yellowish_skin,dark_urine,itching,,,,,,,,,,,,Jaundice
weight_loss,high_fever,dark_urine,,,,,,,,,,,,,,,Jaundice
dark_urine,abdominal_pain,vomiting,high_fever,itching,weight_loss,yellowish_skin,fatigue,,,,,,,,,,Jaundice
vomiting,itching,weight_loss,abdominal_pain,dark_urine,fatigue,high_fever,,,,,,,,,,,Jaundice
dark_urine,fatigue,itching,high_fever,weight_loss,yellowish_skin,vomiting,,,,,,,,,,,Jaundice
yellowish_skin,high_fever,abdominal_pain,dark_urine,itching,vomiting,,,,,,,,,,,,Jaundice
high_fever,weight_loss,vomiting,itching,,,,,,,,,,,,,,Jaundice
dark_urine,fatigue,vomiting,itching,high_fever,,,,,,,,,,,,,Jaundice
vomiting,high_fever,itching,weight_loss,abdominal_pain,fatigue,dark_urine,,,,,,,,,,,Jaundice
yellowish_skin,itching,vomiting,weight_loss,fatigue,abdominal_pain,,,,,,,,,,,,Jaundice
dark_urine,high_fever,fatigue,abdominal_pain,yellowish_skin,weight_loss,vomiting,,,,,,,,,,,Jaundice
dark_urine,high_fever,abdominal_pain,weight_loss,,,,,,,,,,,,,,Jaundice
yellowish_skin,high_fever,dark_urine,weight_loss,,,,,,,,,,,,,,Jaundice
high_fever,abdominal_pain,fatigue,weight_loss,vomiting,,,,,,,,,,,,,Jaundice
vomiting,yellowish_skin,abdominal_pain,weight_loss,dark_urine,itching,fatigue,high_fever,,,,,,,,,,Jaundice
itching,vomiting,weight_loss,abdominal_pain,high_fever,,,,,,,,,,,,,Jaundice
abdominal_pain,high_fever,weight_loss,itching,,,,,,,,,,,,,,Jaundice
high_fever,vomiting,fatigue,,,,,,,,,,,,,,,Jaundice
chills,nausea,sweating,,,,,,,,,,,,,,,Malaria
headache,nausea,muscle_pain,chills,vomiting,high_fever,,,,,,,,,,,,Malaria
muscle_pain,chills,vomiting,headache,high_fever,diarrhoea,,,,,,,,,,,,Malaria
sweating,headache,vomiting,,,,,,,,,,,,,,,Malaria
chills,high_fever,vomiting,muscle_pain,nausea,headache,sweating,diarrhoea,,,,,,,,,,Malaria
diarrhoea,sweating,headache,vomiting,chills,,,,,,,,,,,,,Malaria
vomiting,chills,headache,high_fever,nausea,muscle_pain,sweating,diarrhoea,,,,,,,,,,Malaria
sweating,muscle_pain,diarrhoea,headache,chills,vomiting,nausea,,,,,,,,,,,Malaria
vomiting,headache,chills,diarrhoea,high_fever,muscle_pain,,,,,,,,,,,,Malaria
headache,muscle_pain,diarrhoea,,,,,,,,,,,,,,,Malaria
muscle_pain,sweating,headache,diarrhoea,vomiting,,,,,,,,,,,,,Malaria
muscle_pain,nausea,sweating,headache,chills,,,,,,,,,,,,,Malaria
vomiting,high_fever,chills,sweating,muscle_pain,diarrhoea,,,,,,,,,,,,Malaria
sweating,diarrhoea,high_fever,muscle_pain,nausea,headache,chills,vomiting,,,,,,,,,,Malaria
headache,chills,sweating,high_fever,,,,,,,,,,,,,,Malaria
high_fever,sweating,muscle_pain,,,,,,,,,,,,,,,Malaria
sweating,headache,high_fever,vomiting,diarrhoea,,,,,,,,,,,,,Malaria
sweating,vomiting,nausea,diarrhoea,high_fever,chills,,,,,,,,,,,,Malaria
sweating,diarrhoea,vomiting,headache,,,,,,,,,,,,,,Malaria
high_fever,diarrhoea,chills,nausea,headache,,,,,,,,,,,,,Malaria
muscle_pain,headache,chills,diarrhoea,nausea,vomiting,high_fever,sweating,,,,,,,,,,Malaria
headache,sweating,vomiting,muscle_pain,high_fever,nausea,,,,,,,,,,,,Malaria
high_fever,chills,headache,sweating,,,,,,,,,,,,,,Malaria
chills,headache,high_fever,sweating,vomiting,diarrhoea,,,,,,,,,,,,Malaria
muscle_pain,high_fever,nausea,,,,,,,,,,,,,,,Malaria
chills,nausea,vomiting,,,,,,,,,,,,,,,Malaria
vomiting,high_fever,diarrhoea,headache,nausea,chills,,,,,,,,,,,,Malaria
